task_type,scheduled_hour,day_of_week,duration,previous_completion_rate,previous_task_status,activity_level,sleep_duration,user_preference,availability,completed,data_source
MEDITATION,20,2,30,0.69,SKIPPED,MODERATELY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,5,10,0.77,SKIPPED,VERY_ACTIVE,6.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,0,15,0.7,SKIPPED,VERY_ACTIVE,6.1,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,6,60,0.6,NONE,MODERATELY_ACTIVE,5.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,0,60,0.83,COMPLETED,LIGHTLY_ACTIVE,7.5,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,6,15,0.55,SKIPPED,VERY_ACTIVE,6.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,3,15,0.93,SKIPPED,VERY_ACTIVE,8.1,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,4,20,0.48,NONE,VERY_ACTIVE,7.4,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,0,15,0.41,COMPLETED,MODERATELY_ACTIVE,4.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,2,30,0.69,SKIPPED,MODERATELY_ACTIVE,5.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,14,3,15,0.34,NONE,MODERATELY_ACTIVE,5.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,5,30,0.77,MISSED,SEDENTARY,8.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,2,10,0.71,RESCHEDULED,SEDENTARY,8.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,4,15,0.35,MISSED,MODERATELY_ACTIVE,7.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,18,5,20,0.87,RESCHEDULED,VERY_ACTIVE,8.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,6,0,15,0.58,RESCHEDULED,SEDENTARY,7.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,2,20,0.44,MISSED,LIGHTLY_ACTIVE,7.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,14,3,20,0.93,RESCHEDULED,VERY_ACTIVE,7.0,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,4,15,0.32,COMPLETED,LIGHTLY_ACTIVE,6.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,7,4,20,0.94,RESCHEDULED,MODERATELY_ACTIVE,7.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,4,20,0.71,MISSED,MODERATELY_ACTIVE,6.0,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,2,30,0.83,RESCHEDULED,VERY_ACTIVE,6.5,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
